Date,Close,Volume,Open,High,Low
08/07/2025,$91.02,9891800,$89.73,$91.36,$89.49
08/06/2025,$88.99,7869100,$90.21,$90.36,$88.82
08/05/2025,$90.20,6994400,$89.65,$90.56,$89.31
08/04/2025,$89.78,12500400,$87.08,$90.11,$86.94
08/01/2025,$86.86,16221300,$88.39,$88.50,$85.49
07/31/2025,$89.16,16565400,$91.60,$93.07,$88.43
07/30/2025,$92.76,44794700,$97.83,$98.89,$90.07
07/29/2025,$92.96,20923600,$93.25,$94.39,$91.78
07/28/2025,$93.67,10333600,$94.93,$95.74,$93.46
07/25/2025,$94.42,7224100,$93.40,$94.48,$92.31
07/24/2025,$93.70,7897600,$95.50,$95.58,$93.42
07/23/2025,$95.92,11275300,$97.35,$98.18,$95.54
07/22/2025,$96.94,9992400,$92.95,$97.16,$92.85
07/21/2025,$92.66,7217300,$94.30,$95.29,$92.61
07/18/2025,$93.80,5172800,$94.04,$94.46,$93.25
07/17/2025,$93.19,8589000,$90.73,$93.29,$90.57
07/16/2025,$92.51,7136900,$92.66,$93.28,$91.56
07/15/2025,$92.48,8567900,$93.62,$94.30,$92.15
07/14/2025,$93.42,6048300,$93.68,$93.96,$92.27
07/11/2025,$94.94,6339800,$94.37,$95.32,$94.14
07/10/2025,$95.15,6913600,$94.88,$95.74,$93.55
07/09/2025,$95.25,8322400,$97.55,$97.89,$94.66
07/08/2025,$94.94,6985700,$94.06,$95.75,$93.78
07/07/2025,$93.64,5311200,$94.16,$94.95,$92.97
07/03/2025,$94.44,3557300,$94.20,$94.65,$93.76
07/02/2025,$94.18,7942300,$95.28,$95.30,$93.35
07/01/2025,$94.92,9828400,$91.54,$95.86,$91.54
06/30/2025,$91.63,10083300,$92.42,$94.16,$91.08
06/27/2025,$92.11,21491600,$91.77,$92.72,$90.33
06/26/2025,$91.84,6571600,$92.10,$92.20,$90.42
06/25/2025,$91.10,6929600,$91.76,$92.00,$90.62
06/24/2025,$91.50,11373900,$92.91,$93.84,$90.31
06/23/2025,$92.34,7533000,$93.20,$93.21,$90.74
06/20/2025,$93.12,9197000,$93.08,$93.80,$92.40
06/18/2025,$92.28,7319300,$91.88,$92.58,$91.23
06/17/2025,$91.59,6183000,$93.16,$93.21,$90.79
06/16/2025,$93.48,5871000,$93.98,$94.43,$92.94
06/13/2025,$93.26,7119900,$93.50,$94.61,$93.16
06/12/2025,$94.32,7183300,$94.68,$95.07,$93.97
06/11/2025,$95.39,14835500,$92.11,$95.91,$92.00
06/10/2025,$91.43,6911100,$89.90,$91.89,$89.53
06/09/2025,$90.67,8097300,$89.08,$91.14,$89.08
06/06/2025,$89.64,8772900,$88.40,$89.89,$88.24
06/05/2025,$86.99,8476100,$88.18,$88.41,$86.86
06/04/2025,$88.11,8740900,$86.63,$88.54,$86.02
06/03/2025,$86.60,8287700,$85.07,$87.49,$84.40
06/02/2025,$85.19,8258900,$83.28,$85.30,$83.19
05/30/2025,$83.95,7394100,$83.94,$84.27,$83.19
05/29/2025,$84.05,10308700,$84.90,$85.70,$83.70
05/28/2025,$86.00,12328500,$87.43,$87.60,$84.54
05/27/2025,$87.01,10922300,$85.43,$87.09,$85.22
05/23/2025,$84.40,7088200,$82.58,$84.83,$82.57
05/22/2025,$83.97,8440400,$83.22,$84.48,$82.72
05/21/2025,$82.98,10875400,$84.41,$85.51,$82.51
05/20/2025,$85.59,9310600,$84.52,$86.15,$84.45
05/19/2025,$84.61,9568100,$84.45,$85.14,$84.11
05/16/2025,$85.57,13109500,$86.62,$86.91,$84.28
05/15/2025,$87.26,13721900,$86.54,$87.78,$85.82
05/14/2025,$86.54,12741500,$86.71,$87.63,$85.74
05/13/2025,$86.88,11533700,$85.87,$87.14,$85.10
05/12/2025,$85.67,17241500,$83.65,$86.54,$83.64
05/09/2025,$80.30,8210700,$82.41,$82.67,$80.20
05/08/2025,$82.19,8759800,$83.34,$83.60,$81.69
05/07/2025,$82.71,8224800,$82.97,$83.23,$82.14
05/06/2025,$82.78,10709500,$81.00,$83.37,$80.61
05/05/2025,$81.66,13361900,$84.00,$84.08,$81.59
05/02/2025,$84.69,13512900,$82.59,$84.83,$82.05
05/01/2025,$82.01,18326700,$80.71,$82.71,$80.27
04/30/2025,$80.05,41297000,$76.37,$80.28,$75.50
04/29/2025,$84.85,16356900,$83.64,$85.07,$83.20
04/28/2025,$83.90,7091400,$84.33,$85.06,$83.27
04/25/2025,$83.81,5799400,$83.63,$83.99,$82.46
04/24/2025,$83.86,6798100,$82.39,$84.14,$81.58
04/23/2025,$82.81,9114400,$84.00,$85.74,$82.65
04/22/2025,$81.75,10408600,$81.91,$83.49,$81.62
04/21/2025,$80.68,10595600,$80.36,$80.82,$78.13
04/17/2025,$81.50,9787500,$81.25,$82.55,$81.20
04/16/2025,$80.76,13080800,$83.30,$83.52,$79.89
04/15/2025,$83.71,7088600,$85.50,$86.06,$83.46
04/14/2025,$85.49,8880500,$86.32,$86.77,$83.40
04/11/2025,$85.43,10059700,$84.43,$85.82,$82.08
04/10/2025,$84.60,16209300,$86.11,$86.58,$81.67
04/09/2025,$88.68,26668100,$79.22,$89.13,$77.93
04/08/2025,$79.69,20534600,$83.07,$83.48,$78.69
04/07/2025,$80.00,26099400,$78.63,$83.27,$76.15
04/04/2025,$82.10,19700100,$84.66,$85.43,$81.30
04/03/2025,$88.26,20490100,$93.35,$93.39,$87.65
04/02/2025,$99.41,6043300,$97.41,$99.75,$97.41
04/01/2025,$98.23,5868400,$97.85,$98.90,$97.13
03/31/2025,$98.09,11302900,$96.62,$98.82,$94.58
03/28/2025,$97.73,8066200,$98.00,$98.49,$97.06
03/27/2025,$98.85,9141000,$97.90,$99.92,$97.54
03/26/2025,$97.97,9561600,$96.00,$98.39,$96.00
03/25/2025,$95.88,6984800,$96.19,$96.97,$94.77
03/24/2025,$95.72,8265000,$98.03,$98.20,$95.63
03/21/2025,$97.07,11366000,$97.94,$98.01,$96.29
03/20/2025,$99.28,5952800,$98.85,$99.69,$98.67
03/19/2025,$99.19,4982700,$98.27,$99.53,$97.95
03/18/2025,$98.28,7423400,$99.23,$99.37,$97.68
03/17/2025,$99.08,10131700,$97.71,$99.45,$97.00
03/14/2025,$98.11,8240900,$96.52,$98.25,$96.16
03/13/2025,$96.04,9274300,$98.71,$98.87,$95.93
03/12/2025,$98.69,9461200,$100.30,$100.30,$96.97
03/11/2025,$99.58,10663500,$101.89,$103.00,$99.00
03/10/2025,$101.13,15823300,$105.73,$106.00,$99.80
03/07/2025,$106.48,11637400,$104.73,$106.86,$103.44
03/06/2025,$105.47,16321700,$110.01,$110.43,$104.91
03/05/2025,$111.69,11926800,$111.57,$112.52,$110.21
03/04/2025,$112.06,12482400,$114.99,$115.27,$112.00
03/03/2025,$115.41,9225500,$116.04,$117.46,$114.10
02/28/2025,$115.81,11466000,$115.06,$116.09,$114.27
02/27/2025,$114.49,9013700,$113.00,$115.70,$112.80
02/26/2025,$113.00,7466800,$114.61,$114.79,$112.26
02/25/2025,$114.59,11001800,$113.08,$115.24,$112.67
02/24/2025,$113.19,13120500,$112.34,$113.91,$111.89
02/21/2025,$111.75,9664700,$113.33,$114.68,$111.63
02/20/2025,$113.34,6343800,$112.17,$113.50,$111.96
02/19/2025,$112.49,8268900,$112.44,$113.34,$112.34
02/18/2025,$113.03,7574100,$111.80,$113.36,$111.62
02/14/2025,$112.55,9115000,$112.82,$113.47,$112.03
02/13/2025,$113.00,10046300,$113.12,$113.40,$111.53
02/12/2025,$113.04,7269400,$110.56,$113.19,$110.40
02/11/2025,$111.03,4683100,$110.88,$112.08,$110.61
02/10/2025,$111.45,8348400,$112.58,$112.58,$111.00
02/07/2025,$112.20,11502400,$111.43,$112.62,$110.06
02/06/2025,$111.70,11967300,$112.05,$112.31,$111.05
02/05/2025,$112.25,12826000,$110.18,$112.42,$109.86
02/04/2025,$110.60,11123700,$108.67,$111.07,$108.13
02/03/2025,$108.16,8894100,$105.72,$108.44,$105.52
01/31/2025,$107.68,19136900,$109.00,$109.36,$107.50
01/30/2025,$109.00,15023000,$109.00,$110.34,$108.03
01/29/2025,$108.58,40769300,$102.70,$110.08,$102.68
01/28/2025,$100.41,14736500,$98.94,$100.68,$98.59
01/27/2025,$100.02,9654900,$98.52,$100.33,$98.10
01/24/2025,$98.81,6957100,$97.79,$99.01,$97.62
01/23/2025,$97.99,7901800,$98.00,$98.03,$97.02
01/22/2025,$97.73,7678900,$97.98,$98.54,$97.46
01/21/2025,$97.98,8803100,$95.41,$98.58,$95.41
01/17/2025,$95.13,8361900,$95.58,$95.86,$95.10
01/16/2025,$94.43,6548200,$92.87,$94.77,$92.87
01/15/2025,$93.08,4554700,$94.10,$94.47,$92.95
01/14/2025,$93.07,6406200,$94.01,$94.89,$92.52
01/13/2025,$93.51,6912100,$92.27,$93.59,$91.38
01/10/2025,$92.25,6550300,$92.19,$92.79,$91.93
01/08/2025,$92.60,6243700,$92.97,$93.01,$92.01
01/07/2025,$92.84,6638300,$92.78,$93.65,$91.86
01/06/2025,$93.13,8768100,$92.04,$94.50,$91.94
01/03/2025,$92.58,4964900,$92.40,$93.12,$91.80
01/02/2025,$92.17,8640900,$91.55,$92.66,$91.41
12/31/2024,$91.25,4220700,$90.73,$91.77,$90.59
12/30/2024,$90.58,8404500,$91.29,$91.32,$89.84
12/27/2024,$92.25,8200400,$90.90,$93.20,$90.88
12/26/2024,$91.86,7538700,$89.37,$92.05,$89.37
12/24/2024,$89.91,5422000,$87.40,$89.92,$87.17
12/23/2024,$87.44,11203700,$87.50,$87.88,$86.30
12/20/2024,$87.97,26477500,$87.86,$89.16,$87.07
12/19/2024,$88.76,14628400,$90.24,$91.58,$88.67
12/18/2024,$89.90,10886600,$91.77,$92.25,$89.64
12/17/2024,$92.09,8536100,$93.01,$93.94,$92.05
12/16/2024,$93.12,12395900,$96.95,$97.00,$93.10
12/13/2024,$97.42,5910900,$97.34,$98.08,$96.94
12/12/2024,$97.82,6375900,$98.22,$98.97,$97.42
12/11/2024,$98.42,8007300,$98.50,$99.39,$97.98
12/10/2024,$98.16,8192500,$99.14,$99.25,$97.94
12/09/2024,$99.31,7271600,$100.07,$100.57,$98.52
12/06/2024,$100.11,6297000,$98.93,$100.62,$98.44
12/05/2024,$99.23,7194800,$101.00,$101.30,$99.19
12/04/2024,$100.70,6151100,$100.89,$101.99,$100.37
12/03/2024,$101.57,7101500,$101.09,$102.12,$99.89
12/02/2024,$101.51,6103200,$102.00,$102.21,$99.87
11/29/2024,$102.46,3419300,$101.37,$102.50,$101.27
11/27/2024,$101.51,4857800,$100.75,$102.03,$100.72
11/26/2024,$100.68,6558300,$101.99,$102.09,$100.47
11/25/2024,$101.84,8839600,$102.93,$103.32,$101.78
11/22/2024,$102.50,6563300,$100.00,$102.56,$99.77
11/21/2024,$100.06,6760600,$99.50,$100.33,$98.49
11/20/2024,$98.26,7527700,$98.00,$98.75,$97.11
11/19/2024,$98.35,9176200,$99.79,$100.30,$98.20
11/18/2024,$100.40,7041500,$98.44,$100.61,$97.93
11/15/2024,$98.42,8119900,$99.10,$100.22,$97.99
11/14/2024,$99.23,6441500,$99.43,$100.02,$99.14
11/13/2024,$99.80,8816300,$97.35,$99.94,$96.23
11/12/2024,$98.80,8438400,$100.13,$100.54,$98.42
11/11/2024,$100.31,10313300,$98.00,$101.41,$97.95
11/08/2024,$97.55,6118700,$96.11,$97.64,$96.03
11/07/2024,$96.12,6195200,$96.06,$96.69,$95.76
11/06/2024,$96.08,9708800,$96.97,$98.23,$94.78
11/05/2024,$97.09,6348300,$96.86,$97.47,$96.15
11/04/2024,$97.03,7049100,$98.59,$98.81,$96.70
11/01/2024,$98.87,8860200,$97.60,$99.80,$97.37
10/31/2024,$97.70,12011500,$97.32,$99.00,$95.35
10/30/2024,$97.32,9187200,$97.37,$98.15,$96.80
10/29/2024,$97.39,7664200,$97.74,$98.05,$96.35
10/28/2024,$98.02,6790900,$97.65,$99.14,$97.55
